id,parent,name,admin_level,population,area,density,x1,y1,x2,y2,x3,y3,x4,y4
20,,województwo zachodniopomorskie,4,1640622,22915.75,71.59364192749528,14.1228849,52.6246894,14.1228849,54.5707858,16.9820776,54.5707858,16.9820776,52.6246894
21,20,powiat białogardzki,6,47100,845.59076,55.70070325744808,15.7200998,53.8080589,15.7200998,54.1456514,16.4569113,54.1456514,16.4569113,53.8080589
42,39,gmina Drawsko Pomorskie,7,16895,409.2943,41.27836620251003,15.646953,53.3809611,15.646953,53.6787625,16.0056175,53.6787625,16.0056175,53.3809611
1143,999,gmina Szydłów,7,4565,107.93458,42.294137800879014,20.8740636,50.5367454,20.8740636,50.6745538,21.0952188,50.6745538,21.0952188,50.5367454
2004,1900,gmina Secemin,7,4692,161.23756,29.09991939843297,19.7043035,50.701261,19.7043035,50.8514892,19.9761706,50.8514892,19.9761706,50.701261
5094,4907,gmina Sułów,7,4357,93.20995,46.74393667199693,22.8731617,50.7106249,22.8731617,50.8099379,23.0783338,50.8099379,23.0783338,50.7106249
22,21,Białogard,7,23811,25.717018,925.884952913281,15.9160514,53.9740984,15.9160514,54.0540045,16.0352058,54.0540045,16.0352058,53.9740984
23,21,gmina Białogard,7,7555,328.32718,23.01058352829638,15.754472,53.8736592,15.754472,54.1153089,16.1849353,54.1153089,16.1849353,53.8736592
24,21,gmina Karlino,7,9032,141.07877,64.02097211366389,15.7200998,53.9538317,15.7200998,54.1456514,15.952623,54.1456514,15.952623,53.9538317
10353,10351,Kamionka Górna,8,,1.4217331,,22.3374249,50.4219794,22.3374249,50.4319222,22.3654421,50.4319222,22.3654421,50.4219794
25,24,Karlino,8,5826,9.409314,619.173725098344,15.8403285,54.011589,15.8403285,54.068381,15.8977357,54.068381,15.8977357,54.011589
26,21,gmina Tychowo,7,6702,350.4678,19.123012156894298,16.0587019,53.8080589,16.0587019,54.0426268,16.4569113,54.0426268,16.4569113,53.8080589
27,26,Tychowo,8,2497,3.9301991,635.3367695799432,16.2207394,53.9111644,16.2207394,53.944544,16.2920795,53.944544,16.2920795,53.9111644
28,20,powiat choszczeński,6,47682,1327.8007,35.91050976249674,15.2050085,52.9417235,15.2050085,53.3439425,16.0374001,53.3439425,16.0374001,52.9417235
29,28,gmina Bierzwnik,7,4641,239.14388,19.406727029769694,15.543691,52.9763762,15.543691,53.1394084,15.8601451,53.1394084,15.8601451,52.9763762
30,28,gmina Choszczno,7,21388,246.2209,86.86508740728345,15.2540673,53.0906321,15.2540673,53.2546627,15.6701768,53.2546627,15.6701768,53.0906321
43,42,Drawsko Pomorskie,8,11343,22.338375,507.7808927462271,15.7653459,53.5028324,15.7653459,53.5644594,15.8483632,53.5644594,15.8483632,53.5028324
31,30,Choszczno,8,14894,9.580021,1554.6938780196829,15.3931214,53.1499049,15.3931214,53.1875368,15.4608806,53.1875368,15.4608806,53.1499049
32,28,gmina Drawno,7,4960,320.98526,15.452422955496463,15.6066301,53.1099618,15.6066301,53.3151253,16.0374001,53.3151253,16.0374001,53.1099618
44,39,gmina Kalisz Pomorski,7,6854,477.6284,14.350067960782901,15.5845251,53.2009761,15.5845251,53.4357871,16.0761583,53.4357871,16.0761583,53.2009761
45,44,Kalisz Pomorski,8,4357,11.960619,364.27880530263525,15.8625167,53.2710104,15.8625167,53.3149507,15.9437745,53.3149507,15.9437745,53.2710104
115,103,Rabiąż,8,,1.6281673,,14.5583509,53.9156156,14.5583509,53.9307639,14.5897062,53.9307639,14.5897062,53.9156156
33,32,Drawno,8,2216,5.028737,440.66730870992063,15.7261704,53.2019112,15.7261704,53.2339188,15.7861726,53.2339188,15.7861726,53.2019112
53,52,Maszewo,8,3340,5.54516,602.3270744216578,15.0411212,53.4787876,15.0411212,53.5106751,15.0822064,53.5106751,15.0822064,53.4787876
54,49,gmina Nowogard,7,23322,338.65457,68.86663304144989,14.9328936,53.5868591,14.9328936,53.7965215,15.3273133,53.7965215,15.3273133,53.5868591
374,364,Piaski Królewieckie,8,,1.4182189,,20.4313304,51.0440362,20.4313304,51.0604119,20.4574702,51.0604119,20.4574702,51.0440362
34,28,gmina Krzęcin,7,3611,140.30113,25.737497623860904,15.3872184,52.9872472,15.3872184,53.1332647,15.5947221,53.1332647,15.5947221,52.9872472
55,54,Nowogard,8,15634,12.583978,1242.3734370800712,15.0755487,53.6509762,15.0755487,53.6928858,15.1617898,53.6928858,15.1617898,53.6509762
71,67,Trzęsacz,8,,4.7602367,,14.9781801,54.051033,14.9781801,54.0819028,15.0159217,54.0819028,15.0159217,54.051033
35,28,gmina Pełczyce,7,7662,200.74474,38.167874286519286,15.2050085,52.9417235,15.2050085,53.1354067,15.4576805,53.1354067,15.4576805,52.9417235
36,35,Pełczyce,8,2585,13.068844,197.798672935418,15.2652807,53.02595,15.2652807,53.0678341,15.3294883,53.0678341,15.3294883,53.02595
1871,1856,Podradkowice,8,,0.44556817,,21.0080601,50.9815194,21.0080601,50.9879091,21.0224401,50.9879091,21.0224401,50.9815194
37,28,gmina Recz,7,5420,180.40479,30.04354817851566,15.4511395,53.1840137,15.4511395,53.3439425,15.7000304,53.3439425,15.7000304,53.1840137
38,37,Recz,8,2856,12.402298,230.279904578974,15.5161577,53.2311632,15.5161577,53.2784171,15.5914628,53.2784171,15.5914628,53.2311632
39,20,powiat drawski,6,56159,1760.8558,31.893014748851098,15.5845251,53.2009761,15.5845251,53.6938966,16.4577957,53.6938966,16.4577957,53.2009761
40,39,gmina Czaplinek,7,11661,364.647,31.978872717998502,16.051996,53.4211838,16.051996,53.6938966,16.4577957,53.6938966,16.4577957,53.4211838
2033,2028,Huta Koszary,8,,2.0767784,,21.0028675,50.8325349,21.0028675,50.844321,21.0258111,50.844321,21.0258111,50.8325349
41,40,Czaplinek,8,7040,13.61808,516.9598063750543,16.1890458,53.5271833,16.1890458,53.5869807,16.2623449,53.5869807,16.2623449,53.5271833
46,39,gmina Wierzchowo,7,4153,229.32892,18.109360127802457,15.9871037,53.3658031,15.9871037,53.5101693,16.3709884,53.5101693,16.3709884,53.3658031
47,39,gmina Złocieniec,7,16128,279.95718,57.60881003302005,15.8210627,53.4184694,15.8210627,53.6931446,16.1783337,53.6931446,16.1783337,53.4184694
48,47,Złocieniec,8,12639,32.274963,391.60385714462325,15.9655411,53.4880807,15.9655411,53.5623921,16.0648746,53.5623921,16.0648746,53.4880807
49,20,powiat goleniowski,6,82136,1615.9205,50.829233245076104,14.3815774,53.4029818,14.3815774,53.8177058,15.3273133,53.8177058,15.3273133,53.4029818
50,49,gmina Goleniów,7,36173,443.0631,81.64299848035189,14.59608,53.4029818,14.59608,53.6828275,14.99372,53.6828275,14.99372,53.4029818
385,364,Zastawie,8,,0.49813682,,20.4276139,51.0377594,20.4276139,51.0468817,20.4412574,51.0468817,20.4412574,51.0377594
386,265,gmina Ruda Maleniecka,7,3022,111.83038,27.02306832901757,20.0931916,51.0732894,20.0931916,51.2096171,20.303961,51.2096171,20.303961,51.0732894
51,50,Goleniów,8,21757,11.780107,1846.9271968412513,14.8003476,53.5398981,14.8003476,53.5814758,14.8762307,53.5814758,14.8762307,53.5398981
52,49,gmina Maszewo,7,8763,210.32893,41.66331279296671,14.9103026,53.4482372,14.9103026,53.6091589,15.2364863,53.6091589,15.2364863,53.4482372
4177,4162,Kopanina Kaliszańska,8,,1.6149058,,21.8348337,51.0799865,21.8348337,51.0918699,21.8636498,51.0918699,21.8636498,51.0799865
56,49,gmina Osina,7,3019,101.70545,29.68375834333362,14.9029322,53.559939,14.9029322,53.6819655,15.1071711,53.6819655,15.1071711,53.559939
66,65,Płoty,8,3691,4.1250677,894.7731936617671,15.2476292,53.7915017,15.2476292,53.819491,15.2833643,53.819491,15.2833643,53.7915017
8563,8562,Kiełpin Poduchowny,10,,1.098186,,20.8642232,52.3451392,20.8642232,52.3648814,20.8873523,52.3648814,20.8873523,52.3451392
57,49,gmina Przybiernów,7,4961,228.80078,21.68261838967507,14.6584644,53.66407,14.6584644,53.8177058,14.9714951,53.8177058,14.9714951,53.66407
479,457,Szreniawa,8,,0.49730155,,20.0575827,51.0651352,20.0575827,51.0731771,20.0682847,51.0731771,20.0682847,51.0651352
58,49,gmina Stepnica,7,4834,293.36765,16.47761776051313,14.3815774,53.5972744,14.3815774,53.7966678,14.8347745,53.7966678,14.8347745,53.5972744
63,62,Gryfice,8,15293,12.41248,1232.066436360824,15.166807,53.897404,15.166807,53.9369396,15.2387367,53.9369396,15.2387367,53.897404
1376,1370,Cierno-Zaszosie,8,,2.0245564,,20.1917056,50.6464136,20.1917056,50.6687634,20.2229064,50.6687634,20.2229064,50.6464136
